Using cuda device
Logging to runs/wwk62dpb/PPO_1
wandb: WARNING When using several event log directories, please call `wandb.tensorboard.patch(root_logdir="...")` before `wandb.init`
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 31.5     |
|    ep_rew_mean     | 0.0355   |
| time/              |          |
|    fps             | 2130     |
|    iterations      | 1        |
|    time_elapsed    | 7        |
|    total_timesteps | 16384    |
---------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 31.1     |
|    ep_rew_mean          | 0.0513   |
| time/                   |          |
|    fps                  | 1208     |
|    iterations           | 2        |
|    time_elapsed         | 27       |
|    total_timesteps      | 32768    |
| train/                  |          |
|    approx_kl            | 0.014796 |
|    clip_fraction        | 0.121    |
|    clip_range           | 0.2      |
|    entropy_loss         | -2.88    |
|    explained_variance   | -4.81    |
|    learning_rate        | 0.0003   |
|    loss                 | -0.0105  |
|    n_updates            | 10       |
|    policy_gradient_loss | -0.0103  |
|    value_loss           | 0.00268  |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31          |
|    ep_rew_mean          | 0.0684      |
| time/                   |             |
|    fps                  | 1055        |
|    iterations           | 3           |
|    time_elapsed         | 46          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.012129314 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.86       |
|    explained_variance   | 0.506       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0365     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0201     |
|    value_loss           | 0.0024      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 28.4        |
|    ep_rew_mean          | 0.141       |
| time/                   |             |
|    fps                  | 977         |
|    iterations           | 4           |
|    time_elapsed         | 67          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.012356959 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.643       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0262     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0221     |
|    value_loss           | 0.00291     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 29.3        |
|    ep_rew_mean          | 0.166       |
| time/                   |             |
|    fps                  | 947         |
|    iterations           | 5           |
|    time_elapsed         | 86          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.014306358 |
|    clip_fraction        | 0.201       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.79       |
|    explained_variance   | 0.667       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0182     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0236     |
|    value_loss           | 0.00442     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 26.3        |
|    ep_rew_mean          | 0.244       |
| time/                   |             |
|    fps                  | 922         |
|    iterations           | 6           |
|    time_elapsed         | 106         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.015517106 |
|    clip_fraction        | 0.227       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.74       |
|    explained_variance   | 0.687       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00846    |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0253     |
|    value_loss           | 0.00485     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25.4        |
|    ep_rew_mean          | 0.276       |
| time/                   |             |
|    fps                  | 909         |
|    iterations           | 7           |
|    time_elapsed         | 126         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.016669847 |
|    clip_fraction        | 0.253       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.68        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0213     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0255     |
|    value_loss           | 0.00494     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.9        |
|    ep_rew_mean          | 0.31        |
| time/                   |             |
|    fps                  | 897         |
|    iterations           | 8           |
|    time_elapsed         | 145         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.017785631 |
|    clip_fraction        | 0.272       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.6        |
|    explained_variance   | 0.691       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.025      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0239     |
|    value_loss           | 0.00363     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21.8        |
|    ep_rew_mean          | 0.352       |
| time/                   |             |
|    fps                  | 892         |
|    iterations           | 9           |
|    time_elapsed         | 165         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.017851457 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.52       |
|    explained_variance   | 0.675       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0282     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 0.00222     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 21          |
|    ep_rew_mean          | 0.357       |
| time/                   |             |
|    fps                  | 881         |
|    iterations           | 10          |
|    time_elapsed         | 185         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.018334933 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.44       |
|    explained_variance   | 0.664       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0264     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0201     |
|    value_loss           | 0.000947    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.2        |
|    ep_rew_mean          | 0.378       |
| time/                   |             |
|    fps                  | 877         |
|    iterations           | 11          |
|    time_elapsed         | 205         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.021257266 |
|    clip_fraction        | 0.281       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | 0.72        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0147     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0213     |
|    value_loss           | 0.000971    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 20.1       |
|    ep_rew_mean          | 0.396      |
| time/                   |            |
|    fps                  | 870        |
|    iterations           | 12         |
|    time_elapsed         | 225        |
|    total_timesteps      | 196608     |
| train/                  |            |
|    approx_kl            | 0.02048704 |
|    clip_fraction        | 0.28       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.745      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0534    |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0195    |
|    value_loss           | 0.000785   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 19         |
|    ep_rew_mean          | 0.405      |
| time/                   |            |
|    fps                  | 867        |
|    iterations           | 13         |
|    time_elapsed         | 245        |
|    total_timesteps      | 212992     |
| train/                  |            |
|    approx_kl            | 0.02023426 |
|    clip_fraction        | 0.3        |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.2       |
|    explained_variance   | 0.702      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.018     |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0226    |
|    value_loss           | 0.000526   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.7        |
|    ep_rew_mean          | 0.421       |
| time/                   |             |
|    fps                  | 860         |
|    iterations           | 14          |
|    time_elapsed         | 266         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.018149193 |
|    clip_fraction        | 0.266       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.12       |
|    explained_variance   | 0.712       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0477     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0262     |
|    value_loss           | 0.00052     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.6        |
|    ep_rew_mean          | 0.442       |
| time/                   |             |
|    fps                  | 854         |
|    iterations           | 15          |
|    time_elapsed         | 287         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.021041142 |
|    clip_fraction        | 0.279       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.05       |
