2023-06-10 12:18:11,587 INFO    MainThread:39919 [wandb_setup.py:_flush():76] Configure stats pid to 39919
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_setup.py:_flush():76] Loading settings from /home/bruno/.config/wandb/settings
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_setup.py:_flush():76] Loading settings from /home/bruno/Documents/Firefighter_RL/Solver_Firefighter/wandb/settings
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/bruno/Documents/Firefighter_RL/Solver_Firefighter/main.py'}
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_init.py:_log_setup():506] Logging user logs to /home/bruno/Documents/Firefighter_RL/Solver_Firefighter/wandb/run-20230610_121811-fzm2j775/logs/debug.log
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_init.py:_log_setup():507] Logging internal logs to /home/bruno/Documents/Firefighter_RL/Solver_Firefighter/wandb/run-20230610_121811-fzm2j775/logs/debug-internal.log
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7ff45d0a7490>
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_init.py:init():546] calling init triggers
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'nrows': 10, 'ncols': 10, 'pos_bull': [9, 9], 'pos_fire': (5, 0), 't_move': 0.5, 't_shoot': 0.5, 't_any': 0.05, 'name_model': 'PPO', 'total_proces': 8, 'steps_threshold': 3000000, 'env_seed': 100, 'name_reward': 'NumTreesRewardStepOne', 'obs_wrapper': 'ObservationOneHotWrapper_dict_box', 'policy_type': 'MultiInputPolicy'}
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_init.py:init():602] starting backend
2023-06-10 12:18:11,588 INFO    MainThread:39919 [wandb_init.py:init():606] setting up manager
2023-06-10 12:18:11,591 INFO    MainThread:39919 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-10 12:18:11,592 INFO    MainThread:39919 [wandb_init.py:init():613] backend started and connected
2023-06-10 12:18:11,602 INFO    MainThread:39919 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-06-10 12:18:11,602 INFO    MainThread:39919 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-06-10 12:18:11,602 INFO    MainThread:39919 [wandb_init.py:init():701] updated telemetry
2023-06-10 12:18:11,602 INFO    MainThread:39919 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-06-10 12:18:12,819 INFO    MainThread:39919 [wandb_run.py:_on_init():2133] communicating current version
2023-06-10 12:18:14,059 INFO    MainThread:39919 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.15.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-06-10 12:18:14,060 INFO    MainThread:39919 [wandb_init.py:init():789] starting run threads in backend
2023-06-10 12:18:19,020 INFO    MainThread:39919 [wandb_run.py:_console_start():2114] atexit reg
2023-06-10 12:18:19,021 INFO    MainThread:39919 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-06-10 12:18:19,021 INFO    MainThread:39919 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-06-10 12:18:19,021 INFO    MainThread:39919 [wandb_run.py:_redirect():2059] Redirects installed.
2023-06-10 12:18:19,022 INFO    MainThread:39919 [wandb_init.py:init():831] run started, returning control to user process
2023-06-10 12:18:19,065 INFO    MainThread:39919 [wandb_run.py:_tensorboard_callback():1396] tensorboard callback: runs/fzm2j775/PPO_1, True
